Size of adjusted gross income,"Number
of
returns",Tax credits,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,"Income
tax after
credits",Unnamed: 57,"Net investment
income tax",Unnamed: 59,"Total
income
tax",Unnamed: 61,All other taxes,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Refundable credits used to offset all other taxes,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,"Total
tax
liability",Unnamed: 95,Tax payments,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Refundable credits refundable portion,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,"Total income tax
minus refundable credits [2]",Unnamed: 123,Overpayment,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,"Tax due at
time of filing",Unnamed: 131,"Predetermined estimated
tax penalty",Unnamed: 133,Unnamed: 134,Unnamed: 135
,,Total,,Nonrefundable credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total refundable credits,,,,,,,,,,,,,,Refundable credits used to offset income tax before credits,,,,,,,,,,,,,,Total,,"Self-employment
tax",,"Social Security taxes
on tip income",,"Uncollected Social
Security tax",,"Total additional Social Security
and Medicare tax",,"Uncollected Social Security and Medicare
tax on tips or group-term life insurance",,"Interest on deferred tax on gain
from certain installment sales",,"Penalty tax on qualified
retirement plans",,"Household
employment tax",,"First-time homebuyer
credit repayment",,"Total additional
Medicare tax",,"Total additional
taxes",,Total,,"Earned income credit
 used to offset other taxes",,"Refundable child tax credit or
additional child tax credit
 used to offset other taxes",,"American opportunity credit
 used to offset other taxes",,,,Total,,"Income tax
withheld",,"Income tax
withheld from Form W2",,"Income tax withheld
from Form 1099",,"Income tax withheld
from other forms",,"Estimated tax
payments",,"Payments with request
for extension of filing time",,"Excess Social Security
taxes withheld",,"Credit for Federal tax on
gasoline and special fuels",,Total,,"Earned income credit
refundable portion",,"Refundable child tax credit or
additional child tax credit
refundable portion",,"American opportunity credit
refundable portion",,,,Total,,Refunded,,"Credited to 2023
estimated tax",,,,,,,
,,,,"Foreign tax
credit",,"Credit for child and
dependent care",,"Nonrefundable
education credit",,"Retirement savings
contribution credit",,"Nonrefundable child and other
dependent tax credit",,"Residential energy
credits",,Other nonrefundable credits,,,,,,,,,,,,,,,,,,Total,,Earned income credit,,"Refundable child tax credit or
additional child tax credit",,American opportunity credit,,Net premium tax credit,,"Qualified sick and family leave credit
for leave taken before April 1, 2021",,"Qualified sick and family leave credit for
leave taken after March 31, 2021 
and before October 1, 2021",,Total,,"Earned income credit used to
offset income tax before credits",,"Refundable child tax credit or additional
child tax credit used to offset income
tax before credits",,"American opportunity credit used to
offset income tax before credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total [1],,General business credit,,Prior-year minimum tax credit,,Adoption credit,,Credit for elderly and disabled,,Alternative motor vehicle credit,,Alternative fuel vehicle refueling prop. credit,,Qualified plug-in electric vehicle credit,,Mortgage interest credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,,
"All returns, total",161336659.0,61831870,154773149,11309631,32886473,5624565,3449539,7528175,7850773,9350016,1810118,38295035,83033285,3209936,8237739,1220076,11274652,527880,7383881,113921,1394884,57700,257701,69845,5292,42531,189368,97790,42321,248052,1652554,88559,139929,35486880,112737204,24086346,60068921,18076696,34843071,5957083,5184485,2318423,2388657,435710,3216748,410837,3631573,7867360,6223030,2869112,908014,512481,1173129,3039310,2305411,110611880,2098923017,7140565,40994087,110640128,2139922072,36666212,111568188,22434877,81017483,84910,16467,60035,31667,142177,48084,605857,266640,9783,316701,4788972,5646079,226516,1353946,458968,227222,6973863,15086713,372249,518445,8913792,12296521,7086706,8848310,1643128,2291289,382011,207332,116294699,2238645554,141172647,2365774824,137845727,1566742898,120463527,1363255151,32364226,182759766,6281577,16932599,10533943,581222117,2094039,203886329,2122720,5858921,568926,7187735,27444265,94217653,20524486,50312596,16745784,31378653,3173881,2671742,141251863,2033060076,112860628,501047449,109581457,367537955,4401815,133509495,41855466,284147330,14072382,4126359,,
No adjusted gross income,3254225.0,18812,21304,607,96,1326,453,4039,856,779,392,7365,3236,2218,644,3914,14209,601,13378,146,35,0,0,3231,725,0,0,0,0,5,24,0,0,1266548,4825591,148454,227231,122506,359515,112582,104584,129016,151674,157313,1391710,158099,1450846,883,1532,112,453,2051,1032,2196,1141,3843,128418,0,0,3843,128418,306957,722277,204917,621669,0,0,342,327,877,343,699,523,211,7692,16428,17131,1495,21372,8142,4032,15292,28468,1278,3419,104612,115023,70136,53860,144675,178014,102843,30638,248581,728978,704020,7425925,556750,2931548,328249,2196333,258572,695216,20553,35067,125305,2848693,26799,654706,4670,10900,50198,960043,1204217,4709036,103340,172918,110731,318989,110742,101955,1280219,-4699133,1756362,11788133,1709329,10424258,65756,1363875,180777,390670,34059,5425, ,
"$1 under $5,000",8195781.0,44324,7358,18864,486,0,0,6028,2062,0,0,11481,2958,0,0,6008,362,0,0,0,0,0,0,6008,362,0,0,0,0,0,0,0,0,2393258,2702870,2030906,982279,372316,298001,220193,186985,129934,113791,47389,385822,46432,452553,2973,1377,2955,942,0,0,0,0,105475,18734,0,0,105475,18734,1586391,700022,1440763,656176,4548,91,3003,256,7016,332,5355,370,0,0,47210,11926,0,0,3003,1502,1075,1965,5540,839,717222,225980,1672718,880108,33246,11768,0,0,1365876,488932,3733597,1750828,3617187,1206580,3083225,606087,569737,582081,21457,13982,103950,355754,19809,48621,308,534,16813,124820,1968423,2475513,1599708,797389,353913,286233,216203,178364,2509828,-2685313,4517980,4116879,4485431,4028534,42076,88346,1219308,385648,14383,1434,,
"$5,000 under $10,000",8747727.0,60859,11621,19788,1061,3003,819,8302,1658,4979,729,15228,4282,2568,719,5014,374,33,81,0,0,0,0,4955,363,0,0,0,0,0,0,0,0,3616528,6652832,3217563,4191820,968898,910218,307082,272066,160457,95873,40543,294278,37583,594105,3003,1978,0,0,0,0,0,0,119109,41423,0,0,119109,41423,1752611,1627677,1557553,1565630,9083,323,5022,1038,14105,1361,11900,1574,0,0,90486,16452,4935,3427,10976,4848,2017,1857,3010,938,1130536,789706,0,0,0,0,34921,18610,1217123,868870,6030337,3775949,5914279,2563984,5271165,1791436,777473,749225,26136,12868,81498,286978,30650,27491,1124,215,48790,847229,3097503,5861148,2711963,3495660,935987,875805,294945,253456,3746257,-6615614,6686786,9476920,6658564,9400999,37021,75921,980426,726335,135428,6462,,
"$10,000 under $15,000",9642321.0,1390931,142735,40758,2699,9995,830,206044,21564,200975,17775,239587,37278,9004,1221,13938,926,0,0,0,0,0,0,11941,734,5982,5293,0,0,0,0,0,0,4861782,14626729,4381555,10167731,2073499,3058445,440993,397765,223206,152129,63096,334722,58196,286779,713818,60441,675795,57547,0,0,0,0,1370355,188178,0,0,1370355,188178,2551543,3535767,2267677,3426488,15041,2154,5046,1772,20087,3926,28162,5801,0,0,115825,24430,5911,3050,11369,7334,128,517,3523,5455,1963731,2254051,1800403,2008151,0,0,0,0,2344677,1446318,6927553,6163807,6759721,4912782,5793857,3537083,1170678,1286798,38149,60864,136856,515600,23703,50710,2009,141,75481,593556,4140504,12312236,3696177,8102033,2008110,2954339,423247,377236,6110539,-14396604,8040233,18057871,8000709,17868359,56955,189511,938482,1056217,303844,15764,, 
"$15,000 under $20,000",9058382.0,2483398,686880,84922,6546,47494,9197,498817,201127,593952,148504,641106,192789,41099,11714,47924,7160,3210,1072,0,0,0,0,43710,3108,0,0,0,0,4001,3152,0,0,4071065,19755479,3476744,14044084,2450356,4640282,494731,430940,256773,177716,25700,175118,18783,159923,711471,109843,559000,65028,6031,2518,19127,2210,4429442,1735910,7,442,4429445,1736237,2214305,3837415,1891253,3703046,8375,2099,7065,5810,15440,7909,27157,3952,0,0,154184,49472,9201,5357,13085,5348,98,174,4013,3361,1434297,2516889,1307748,2315596,51992,82111,34580,18125,4775514,3034944,6992676,8299731,6865042,7124378,5944888,5558847,1259792,1497494,43455,47051,134358,470641,15330,47511,4063,355,54989,631286,3384679,17128747,2896343,11663460,2412843,4555653,468851,410605,8017010,-17929454,7685081,23645934,7652415,23501366,48307,144568,1116796,1270640,264522,18394,,
"$20,000 under $25,000",8035277.0,3413490,1356132,140140,12509,161678,52842,582545,403671,1024019,172674,1530715,571071,44107,23456,7991,6511,4984,4191,0,0,2019,1018,0,0,0,0,0,0,0,0,0,0,2819095,14562804,2145339,9453542,1942767,4175224,437126,381469,226080,189616,19069,121880,18058,111079,287506,113377,90812,21171,3988,3186,47440,9232,4393888,3804019,0,0,4393888,3804019,1555416,2742773,1142933,2574908,9034,1467,4013,1339,13047,2806,25117,8122,0,0,144363,51489,10938,13269,6619,2781,1660,2757,5002,571,700967,1346799,553892,1107847,103707,159017,30897,14551,4687400,5182358,6798142,10992074,6686705,9758179,5872650,7854843,1180098,1817195,29006,33273,130422,519922,14752,55460,5205,335,59052,619189,2552660,13102628,2032664,8324524,1880159,4013021,396776,357687,7106265,-10661849,6704656,20355295,6674483,20133506,42298,221789,1137436,1475928,251850,21040,,
"$25,000 under $30,000",8005289.0,3990505,2442544,146288,32303,227945,136337,525905,478123,1600049,297841,1892438,1210101,56458,34450,14686,13015,3991,3517,682,747,0,0,0,0,0,0,0,0,0,0,3003,2928,2635890,12452199,1969281,7527281,1883431,4109577,367370,302216,211366,190487,13796,86651,13810,100993,495427,240375,157979,67756,14384,9431,155591,39793,4801988,6376403,0,0,4801988,6376403,1479252,2747020,973805,2476852,4037,2202,4532,4365,8025,6529,26284,14540,0,0,193647,91231,3943,2172,10359,4362,2542,688,12037,2021,585216,1194507,429209,863017,131997,220535,36731,19346,5058563,7912506,7121166,14384061,7000385,13274243,6166937,11094986,1253342,2079959,28284,22763,157965,650974,31880,75434,3465,1614,36914,359816,2350319,11017316,1880747,6596508,1811425,3879611,306378,243078,7314269,-5849609,6597374,19134553,6548620,18939830,78609,194723,1258209,1671854,304878,24578,,
"$30,000 under $40,000",15771561.0,7405163,8380725,382530,85095,485955,315729,1011493,1104312,2649211,588842,4496840,5102114,193164,162535,34368,60113,12985,20054,1015,1615,0,0,0,0,9034,14302,0,0,4314,9414,3026,3037,5047815,18817774,4017723,10197716,3531967,7311778,651157,552044,316584,300902,20885,106746,19900,146076,1326887,961986,702583,456016,32989,34819,349410,222423,10791931,21322189,0,0,10791934,21322304,2576710,5061825,1526397,4351717,6395,368,4005,1120,10400,1489,48616,16325,5,58,359783,161341,11942,20269,26824,10832,4386,3014,22203,9731,885146,1675025,697910,1116356,286004,422681,51157,26280,11133763,24666122,14564748,39502048,14344170,37207021,12836067,32089310,2442234,4810964,58507,88577,327152,1459874,49238,138585,4607,6948,48256,622624,4253851,16180763,3596757,8625344,3382512,6854277,417487,303341,15322933,3429129,12501777,35095032,12415988,34741692,119584,353340,3128965,4152390,687027,59575,,
"$40,000 under $50,000",13255063.0,5313862,8996669,464178,94738,399787,235033,783996,896171,1608134,291021,3743694,6404450,246712,280161,47164,94593,14213,29065,1511,2795,7040,11782,0,0,4037,12041,0,0,7061,18563,13364,17957,3089270,8296675,2239969,2928109,1929691,4319522,464892,381454,225430,277627,12964,103457,13033,95843,1118702,700503,651849,230175,53620,92831,256957,174270,10680343,30308339,120073,39216,10680343,30309343,2204876,4473418,1239534,3557602,7065,3469,7226,5383,11269,7996,43540,12817,0,0,401289,204800,6020,8144,29533,15103,3140,3238,28565,11866,589817,1013113,447722,445236,268640,436232,29322,17941,10954616,33701959,12603689,47652792,12432619,45684313,11085307,39514549,2347456,5901717,50778,87256,324298,1538298,42726,121731,3301,559,36230,295481,2138775,6583060,1628821,2252698,1748812,3790459,237290,189243,13062670,22656490,10203651,25106150,10123384,24716822,119636,389328,2991686,4651896,722996,65677,,
"$50,000 under $75,000",23805797.0,9713627,20435563,1241213,336264,737399,440056,1302216,1578309,1667917,292339,6752188,15406097,565760,937900,106055,260746,27892,58641,2463,3554,18209,43438,0,0,5039,21606,2398,1052,21049,80039,24143,36043,2936974,5736513,458813,349129,1948168,3801285,779153,702930,266205,395977,14604,92911,8367,86948,1040556,1183851,28030,8927,96604,248137,599081,479895,21378035,100103566,0,0,21378339,100103598,3990915,9612933,2326391,7217146,7014,874,0,0,8023,1730,79156,26508,1009,1642,807928,617724,13293,43616,76142,38267,7670,8498,58152,24225,572887,818937,106967,58139,441068,550968,62993,41976,21751169,108772786,23050382,136668804,22632311,129333961,19638163,108873552,5322509,19433288,143578,443160,1087540,6119982,119882,520645,8025,2273,51757,617874,1794977,3733725,377967,282063,1628849,3002181,215241,181059,23512097,95458157,17143235,45075836,16880310,43782610,393784,1293226,6553991,13697495,2045843,200043,,
"$75,000 under $100,000",15181035.0,6534126,17128504,1261875,375240,624812,401094,833183,962731,0,0,4803708,12993410,485631,1228859,95662,364074,24418,92405,3183,12573,10028,41378,0,0,7033,45448,9190,3668,23420,134277,19395,36912,1078454,1771437,0,0,472995,917607,513619,424862,87871,135923,10460,67314,10556,80913,660023,796112,0,0,72406,196768,465418,364085,14549341,113079178,0,0,14549648,113079420,2738321,8102502,1683765,6158169,4059,141,8032,3903,12092,4045,62069,27362,8,29,609289,589819,7324,11968,61970,32370,11162,8722,45510,24827,162981,238852,0,0,129723,150416,22380,14640,14673945,120861053,14842359,139528577,14561323,130213748,12399121,106642311,4315871,22296676,96764,879294,1092912,8184921,133289,958968,7106,11814,28044,133175,393308,736474,0,0,339585,570423,57227,46138,15044781,112052687,10012165,33349936,9743422,31717852,381174,1632084,5117101,14206317,1800085,211778,,
"$100,000 under $200,000",25887136.0,13578839,40455079,3471508,2044594,1794165,1163916,1765609,2200190,0,0,9938795,28734069,1034797,3108421,258395,1329626,90476,381329,20872,98576,16677,137344,0,0,7009,54210,32534,13501,78130,584655,23814,39847,1568818,2329748,0,0,302595,771488,1168183,1047168,80609,190533,8803,54261,6925,63190,1410842,1874262,0,0,158941,442733,1144091,1012362,25543182,397720446,0,0,25547389,397758377,5625123,20505504,3518141,16428274,7128,379,11030,4527,13195,1903,173146,66652,19,535,1238848,1921706,28532,120098,154175,71919,424470,126206,110711,61442,63050,102867,0,0,48770,74898,6825,5224,25609760,418063537,25481065,439571634,24841081,395608387,21447286,326799219,8083739,66170997,456088,1338642,3021741,38315446,454480,3712592,619604,730126,42048,1157145,155284,352619,0,0,123150,253856,29493,29582,25745149,397276245,15159433,68744673,14297906,60881477,1197916,7863196,10641920,47664382,4114552,667588,,
"$200,000 under $500,000",10017626.0,6409608,21455417,2786953,4679059,954360,587590,0,0,0,0,4221890,12371429,446642,1888489,299506,1773418,140517,844962,46582,309675,3722,22676,0,0,3568,28034,38624,16646,74835,553932,1626,3045,90349,199224,0,0,77214,169667,0,0,4877,16385,806,855,600,979,84261,170329,0,0,71183,141241,0,0,9975881,478105230,7020486,40954429,9992304,483056987,6134140,21100294,1917432,14479678,3111,2713,0,0,7871,5705,60470,67809,3693,19429,523689,1564004,51009,292569,42118,21287,4757570,3832646,54191,61864,3322,4767,0,0,3303,4645,0,0,9997035,504129803,9879647,491515713,9440740,391613780,8557820,344854280,2863061,42670738,3750435,3496439,2443837,83330975,572400,12895539,1150906,3406587,13326,200395,9745,24129,0,0,9696,23781,0,0,10003725,483026659,4702666,51580143,3850295,33671196,1098084,17908947,5273621,65132470,2479797,939158,,
"$500,000 under $1,000,000",1674608.0,929686,6046465,766043,4255354,139039,81340,0,0,0,0,0,0,59511,334881,135337,1357039,83405,865891,22943,290131,0,0,0,0,0,0,10874,5293,35238,268498,187,160,5216,3216,0,0,294,462,0,0,0,0,257,899,496,1345,5955,3286,0,0,283,432,0,0,1667357,254284854,0,0,1672148,260282198,1317139,10279763,456662,5718794,0,0,0,0,0,0,9888,9617,0,0,63068,220973,35022,267732,4654,7238,1183684,3905183,10238,20641,8,6,0,0,3,3,0,0,1672532,270560200,1649182,257321917,1511549,159526769,1401148,147835311,362934,8055946,1051245,3579524,797065,79106961,280087,17419814,215584,1159887,7027,25103,22,258,0,0,10,26,0,0,1672176,260281913,712750,27926977,391112,11662747,389161,16264230,952991,41794312,612308,627914,,
"$1,000,000 under $1,500,000",360882.0,228750,3111565,200354,2279365,21861,13871,0,0,0,0,0,0,11512,75024,47609,742160,36565,572481,5862,114525,0,0,0,0,497,3687,2578,1251,0,0,0,0,1639,1146,0,0,0,0,0,0,14,25,0,0,0,0,1637,1146,0,0,0,0,0,0,359534,110819453,0,0,360444,114003393,282594,3948310,119584,2139481,0,0,259,71,259,71,1961,1646,1038,20261,12094,57198,12362,105574,0,0,252480,1591694,2263,8528,0,0,0,0,0,0,0,0,360540,117951458,355562,114028312,311774,54651985,291674,51304775,73004,1930250,213661,1416643,231892,46398651,98366,12723239,41655,222715,0,0,0,0,0,0,0,0,0,0,360454,114003342,176994,14041696,69435,4130555,124840,9911140,181587,18271510,141609,306474,,
"$1,500,000 under $2,000,000",148221.0,99496,2099288,88395,1481245,6951,4490,0,0,0,0,0,0,4048,47169,24996,565723,20844,455472,2558,87330,0,0,0,0,108,2953,786,424,0,0,0,0,983,665,0,0,0,0,0,0,0,0,0,0,0,0,982,661,0,0,0,0,0,0,147558,67287429,0,0,148056,69338677,116963,2212716,54671,1207909,19,185,122,101,125,102,910,364,506,10880,4153,17435,5771,60419,0,0,102943,902412,1453,5905,0,0,0,0,0,0,0,0,148101,71551339,145959,70852172,125095,29087734,117559,27635322,28108,713953,84416,738407,105705,32292801,49443,9354490,17385,102717,0,0,0,0,0,0,0,0,0,0,148065,69338672,78559,9256164,26733,2307359,59364,6948805,68682,10118497,56066,163118,,
"$2,000,000 under $5,000,000",208129.0,147125,5910689,132286,4539075,7014,4682,0,0,0,0,0,0,5070,52467,43511,1313646,37937,1063774,3913,203449,0,0,0,0,171,1317,634,390,0,0,0,0,1691,819,0,0,0,0,0,0,0,0,15,76,0,0,1691,819,0,0,0,0,0,0,207401,166026539,0,0,207905,171825620,162455,4586007,76822,2326253,0,0,240,1032,246,1034,1087,2064,1438,54500,5022,16346,10708,146392,0,0,142138,1988340,2500,36101,0,0,0,0,0,0,0,0,207962,176406367,205618,178649990,173039,63344186,161271,60419041,39205,1219240,117758,1703403,158141,86336621,83635,28801577,23131,133952,0,0,0,0,0,0,0,0,0,0,207908,171825613,121634,24429049,37282,5402840,96316,19026209,85480,22533330,74991,342649,,
"$5,000,000 under $10,000,000",52968.0,40653,3553432,36865,2721887,1254,875,0,0,0,0,0,0,1067,17304,14967,813035,13620,694916,1251,102705,5,65,0,0,33,318,121,64,0,0,0,0,762,332,0,0,0,0,0,0,0,0,11,48,0,0,0,0,0,0,0,0,0,0,52747,96475701,0,0,52913,100262125,42311,2209009,21513,995572,0,0,52,537,52,537,209,256,764,55397,1076,6252,4119,75876,0,0,36911,1020349,1027,51961,0,0,0,0,0,0,0,0,52928,102466954,52546,106864490,43590,33054415,40883,31750577,9901,397232,30628,888273,43285,51843126,26780,21878892,6262,38248,0,0,0,0,0,0,0,0,0,0,52914,100262125,34604,15281085,9583,3015112,29116,12265972,18172,11050123,17624,162321,,
"$10,000,000 or more",34630.0,28615,12531178,26066,9938858,528,385,0,0,0,0,0,0,567,32326,13031,2557923,12188,2282651,939,167175,0,0,0,0,20,160,50,31,0,0,0,0,742,1151,0,0,0,0,0,0,0,0,0,0,0,0,742,1151,0,0,0,0,0,0,34472,251097008,0,0,34604,266286618,28189,3562956,15064,1412120,0,0,47,84,49,266,133,339,1091,146279,590,6350,3990,152642,0,0,24499,1659984,1032,184750,0,0,0,0,0,0,0,0,34614,269851068,34401,290825999,28368,55644904,26257,52897291,6513,450797,20679,2047113,30020,140645899,20789,94400324,4310,28999,0,0,0,0,0,0,0,0,0,0,34604,266286618,24688,44585123,6456,7210839,21815,37374285,9839,23897316,10521,286968,,
"Taxable returns, total",110640128.0,43627695,121220287,10820825,30037616,3970492,2438635,4638424,5115152,5268013,824714,25269888,62824498,2466314,5214558,945103,10315053,459815,7077011,105303,1345662,10483,32200,20180,1238,20296,123962,94717,40349,192683,1403108,68828,104882,5129663,4442520,1118362,302827,354409,845600,2577618,2086520,761891,491176,14061,15256,8739,14077,5129663,4442520,1118362,302827,354409,845600,2577618,2086520,110611880,2098923017,7136365,40993368,110640128,2139922072,24520297,90895331,12389125,61837513,43551,7388,32979,14322,74306,21699,504958,223986,9531,308191,3868249,5230241,161098,1252674,355476,178269,6939324,15037818,329688,494531,0,0,0,0,0,0,0,0,110640128,2230637312,107205169,2304181940,104784057,1517983461,91068693,1322372275,27083681,175450091,6083310,16513890,9576791,572644270,1947860,202741519,2099072,5829979,242455,4421125,0,0,0,0,0,0,0,0,110640128,2139922072,72705200,347969415,69701263,218229297,3974596,129740118,37664244,278679445,13088269,4047102,,
No adjusted gross income,3843.0,1408,7573,5,41,0,0,1218,1727,139,183,2471,2815,1017,127,267,4215,143,4087,0,0,0,0,131,105,0,0,0,0,32,72,0,0,2861,2971,1097,967,30,115,1185,1140,543,490,0,0,0,0,2861,2971,1097,967,30,115,1185,1140,3843,128418,0,0,3843,128418,2270,27036,1900,20986,0,0,0,0,0,0,1539,426,16,516,1009,191,56,1999,0,0,594,3501,27,22,0,0,0,0,0,0,0,0,3843,155454,2860,247344,2426,55320,2113,51550,442,1889,1671,1225,1386,145693,323,46021,2076,291,6,93,0,0,0,0,0,0,0,0,3843,128418,1584,168803,942,77772,695,91030,2256,77681,1292,841,,
