"Size and accumulated size
of adjusted gross income",All returns,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Taxable returns,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
All returns,161336659,100,14833956956,100,91944,110640128,100,14014009625,100,110627792,11404334633,100,110611880,2098923017,100,2139922072,100,18.8,15.3,19341
No adjusted gross income,3254225,2.017040033040476,-164160281,[1],-50445,3843,[2],-9734295,[1],0,0,0,3843.13,128418,[2],128418,[2],[1],[1],33416
"$1 under $5,000",8195783,5.079926069375219,19538869,0.1317171747090514,2384,105475,0.1,331665,[2],101922,150163,[2],105474.52,18734,[2],18735,[2],12.5,5.6,178
"$5,000 under $10,000",8747727,5.422033066892752,66070756,0.4454021013811549,7553,119109,0.1,878182,[2],119102,404709,[2],119108.76,41423,[2],41423,[2],10.2,4.7,348
"$10,000 under $15,000",9642322,5.9765226699035585,120502825,0.8123444429388029,12497,1370355,1.2,19112665,0.13638255939188423,1370206,1851999,[2],1370355.0299999998,188178,[2],188178,[2],10.2,1,137
"$15,000 under $20,000",9058382,5.6145838497870475,157738693,1.06336221325085,17414,4429445,4,77383332,0.5521855205661741,4429434,18548012,0.2,4429441.8,1735910,0.1,1736237,0.1,9.4,2.2,392
"$20,000 under $25,000",8035277,4.98044093004306,180311082,1.2155292248375325,22440,4393888,4,98787235,0.704917704807128,4392825,39939199,0.4,4393888,3804019,0.2,3804019,0.2,9.5,3.9,866
"$25,000 under $30,000",8005289,4.961853709887472,219958083,1.4828011410066277,27477,4801988,4.3,132247818,0.9436829397068436,4801879,64167268,0.6,4801988,6376403,0.3,6376403,0.3,9.9,4.8,1328
"$30,000 under $40,000",15771561,9.775559440585663,550490150,3.71101353221427,34904,10791934,9.8,377838200,2.6961462858278864,10791890,210765535,1.8,10791931,21322189,1,21322304,1,10.1,5.6,1976
"$40,000 under $50,000",13255063,8.215778783419582,593955496,4.004026017884314,44810,10680343,9.7,479522952,3.4217398505604355,10680230,304326431,2.7,10680343,30308339,1.4,30309343,1.4,10,6.3,2838
