date,variable,value,estimate_type
2023,chained_cpiu,168.78,actual
2024,chained_cpiu,173.312,actual
2025,chained_cpiu,177.442,projected
2026,chained_cpiu,181.99,projected
2027,chained_cpiu,186.225,projected
2028,chained_cpiu,190.127,projected
2029,chained_cpiu,193.959,projected
2030,chained_cpiu,197.806,projected
2031,chained_cpiu,201.708,projected
2032,chained_cpiu,205.682,projected
2033,chained_cpiu,209.734,projected
2034,chained_cpiu,213.866,projected
2035,chained_cpiu,218.084,projected
2036,chained_cpiu,222.389,projected
2023,chained_cpiu_pct_change,4.916,actual
2024,chained_cpiu_pct_change,2.685,actual
2025,chained_cpiu_pct_change,2.382,projected
2026,chained_cpiu_pct_change,2.563,projected
2027,chained_cpiu_pct_change,2.327,projected
2028,chained_cpiu_pct_change,2.095,projected
2029,chained_cpiu_pct_change,2.015,projected
2030,chained_cpiu_pct_change,1.983,projected
2031,chained_cpiu_pct_change,1.972,projected
2032,chained_cpiu_pct_change,1.97,projected
2033,chained_cpiu_pct_change,1.969,projected
2034,chained_cpiu_pct_change,1.97,projected
2035,chained_cpiu_pct_change,1.972,projected
2036,chained_cpiu_pct_change,1.974,projected
2023,change_pri_inv,84.4,actual
2024,change_pri_inv,66.3,actual
2025,change_pri_inv,43.5,projected
2026,change_pri_inv,59.8,projected
2027,change_pri_inv,62.9,projected
2028,change_pri_inv,59.5,projected
2029,change_pri_inv,63.6,projected
2030,change_pri_inv,69.5,projected
2031,change_pri_inv,75.0,projected
2032,change_pri_inv,80.4,projected
2033,change_pri_inv,86.0,projected
2034,change_pri_inv,91.4,projected
2035,change_pri_inv,96.6,projected
2036,change_pri_inv,100.9,projected
2023,compensation,14001.1,actual
2024,compensation,14828.4,actual
2025,compensation,15597.5,projected
2026,compensation,16293.6,projected
2027,compensation,17031.0,projected
2028,compensation,17757.9,projected
2029,compensation,18487.1,projected
2030,compensation,19230.6,projected
2031,compensation,19993.0,projected
2032,compensation,20770.7,projected
2033,compensation,21567.9,projected
2034,compensation,22387.7,projected
2035,compensation,23232.3,projected
2036,compensation,24106.3,projected
2023,compensation_share_of_gdp,51.1,actual
2024,compensation_share_of_gdp,51.2,actual
2025,compensation_share_of_gdp,51.4,projected
2026,compensation_share_of_gdp,51.1,projected
2027,compensation_share_of_gdp,51.1,projected
2028,compensation_share_of_gdp,51.2,projected
2029,compensation_share_of_gdp,51.3,projected
2030,compensation_share_of_gdp,51.4,projected
2031,compensation_share_of_gdp,51.5,projected
2032,compensation_share_of_gdp,51.6,projected
2033,compensation_share_of_gdp,51.6,projected
2034,compensation_share_of_gdp,51.6,projected
2035,compensation_share_of_gdp,51.6,projected
2036,compensation_share_of_gdp,51.6,projected
2023,core_cpiu,305.388,actual
2024,core_cpiu,316.445,actual
2025,core_cpiu,326.112,projected
2026,core_cpiu,336.414,projected
2027,core_cpiu,345.533,projected
2028,core_cpiu,353.791,projected
2029,core_cpiu,361.899,projected
2030,core_cpiu,370.08,projected
2031,core_cpiu,378.445,projected
2032,core_cpiu,387.01,projected
2033,core_cpiu,395.777,projected
2034,core_cpiu,404.749,projected
2035,core_cpiu,413.927,projected
2036,core_cpiu,423.317,projected
2023,core_cpiu_pct_change,5.28,actual
2024,core_cpiu_pct_change,3.62,actual
2025,core_cpiu_pct_change,3.055,projected
2026,core_cpiu_pct_change,3.159,projected
2027,core_cpiu_pct_change,2.71,projected
2028,core_cpiu_pct_change,2.39,projected
2029,core_cpiu_pct_change,2.291,projected
2030,core_cpiu_pct_change,2.26,projected
2031,core_cpiu_pct_change,2.26,projected
2032,core_cpiu_pct_change,2.263,projected
2033,core_cpiu_pct_change,2.265,projected
2034,core_cpiu_pct_change,2.266,projected
2035,core_cpiu_pct_change,2.267,projected
2036,core_cpiu_pct_change,2.268,projected
2023,core_pce_price_index,118.329,actual
2024,core_pce_price_index,121.903,actual
2025,core_pce_price_index,125.373,projected
2026,core_pce_price_index,129.013,projected
2027,core_pce_price_index,132.322,projected
2028,core_pce_price_index,135.3,projected
2029,core_pce_price_index,138.167,projected
2030,core_pce_price_index,140.995,projected
2031,core_pce_price_index,143.826,projected
2032,core_pce_price_index,146.682,projected
2033,core_pce_price_index,149.578,projected
2034,core_pce_price_index,152.522,projected
2035,core_pce_price_index,155.518,projected
2036,core_pce_price_index,158.57,projected
2023,core_pce_price_index_pct_change,4.653,actual
2024,core_pce_price_index_pct_change,3.019,actual
2025,core_pce_price_index_pct_change,2.846,projected
2026,core_pce_price_index_pct_change,2.903,projected
2027,core_pce_price_index_pct_change,2.564,projected
2028,core_pce_price_index_pct_change,2.25,projected
2029,core_pce_price_index_pct_change,2.119,projected
2030,core_pce_price_index_pct_change,2.046,projected
2031,core_pce_price_index_pct_change,2.007,projected
2032,core_pce_price_index_pct_change,1.986,projected
2033,core_pce_price_index_pct_change,1.974,projected
2034,core_pce_price_index_pct_change,1.967,projected
2035,core_pce_price_index_pct_change,1.964,projected
2036,core_pce_price_index_pct_change,1.962,projected
2023,corp_profits_adj,3531.5,actual
2024,corp_profits_adj,3750.0,actual
2025,corp_profits_adj,3963.0,projected
2026,corp_profits_adj,4156.2,projected
2027,corp_profits_adj,4192.5,projected
2028,corp_profits_adj,4192.8,projected
2029,corp_profits_adj,4205.9,projected
2030,corp_profits_adj,4292.3,projected
2031,corp_profits_adj,4432.9,projected
2032,corp_profits_adj,4614.0,projected
2033,corp_profits_adj,4806.9,projected
2034,corp_profits_adj,5014.7,projected
2035,corp_profits_adj,5232.5,projected
2036,corp_profits_adj,5459.2,projected
2023,corp_profits_adj_share_of_gdp,12.9,actual
2024,corp_profits_adj_share_of_gdp,13.0,actual
2025,corp_profits_adj_share_of_gdp,13.1,projected
2026,corp_profits_adj_share_of_gdp,13.0,projected
2027,corp_profits_adj_share_of_gdp,12.6,projected
2028,corp_profits_adj_share_of_gdp,12.1,projected
2029,corp_profits_adj_share_of_gdp,11.7,projected
2030,corp_profits_adj_share_of_gdp,11.5,projected
2031,corp_profits_adj_share_of_gdp,11.4,projected
2032,corp_profits_adj_share_of_gdp,11.5,projected
2033,corp_profits_adj_share_of_gdp,11.5,projected
2034,corp_profits_adj_share_of_gdp,11.6,projected
2035,corp_profits_adj_share_of_gdp,11.6,projected
2036,corp_profits_adj_share_of_gdp,11.7,projected
2023,corp_profits_domestic_adj,3053.5,actual
2024,corp_profits_domestic_adj,3310.1,actual
2025,corp_profits_domestic_adj,3448.7,projected
2026,corp_profits_domestic_adj,3568.5,projected
2027,corp_profits_domestic_adj,3615.8,projected
2028,corp_profits_domestic_adj,3626.1,projected
2029,corp_profits_domestic_adj,3635.2,projected
2030,corp_profits_domestic_adj,3711.9,projected
2031,corp_profits_domestic_adj,3836.1,projected
2032,corp_profits_domestic_adj,3997.5,projected
2033,corp_profits_domestic_adj,4163.7,projected
2034,corp_profits_domestic_adj,4340.7,projected
2035,corp_profits_domestic_adj,4525.0,projected
2036,corp_profits_domestic_adj,4718.1,projected
2023,corp_profits_domestic_adj_share_of_gdp,11.1,actual
2024,corp_profits_domestic_adj_share_of_gdp,11.4,actual
2025,corp_profits_domestic_adj_share_of_gdp,11.4,projected
2026,corp_profits_domestic_adj_share_of_gdp,11.2,projected
2027,corp_profits_domestic_adj_share_of_gdp,10.9,projected
2028,corp_profits_domestic_adj_share_of_gdp,10.5,projected
2029,corp_profits_domestic_adj_share_of_gdp,10.1,projected
2030,corp_profits_domestic_adj_share_of_gdp,9.9,projected
2031,corp_profits_domestic_adj_share_of_gdp,9.9,projected
2032,corp_profits_domestic_adj_share_of_gdp,9.9,projected
2033,corp_profits_domestic_adj_share_of_gdp,10.0,projected
2034,corp_profits_domestic_adj_share_of_gdp,10.0,projected
2035,corp_profits_domestic_adj_share_of_gdp,10.1,projected
2036,corp_profits_domestic_adj_share_of_gdp,10.1,projected
2023,cpiu,302.289,actual
2024,cpiu,311.602,actual
2025,cpiu,320.029,projected
2026,cpiu,329.508,projected
2027,cpiu,338.219,projected
2028,cpiu,346.299,projected
2029,cpiu,354.267,projected
2030,cpiu,362.297,projected
2031,cpiu,370.483,projected
2032,cpiu,378.847,projected
2033,cpiu,387.397,projected
2034,cpiu,396.139,projected
2035,cpiu,405.079,projected
2036,cpiu,414.223,projected
2023,cpiu_medical_price_index,549.176,actual
2024,cpiu_medical_price_index,559.623,actual
2025,cpiu_medical_price_index,576.215,projected
2026,cpiu_medical_price_index,595.998,projected
2027,cpiu_medical_price_index,613.154,projected
2028,cpiu_medical_price_index,631.863,projected
2029,cpiu_medical_price_index,651.389,projected
2030,cpiu_medical_price_index,671.612,projected
2031,cpiu_medical_price_index,692.524,projected
2032,cpiu_medical_price_index,714.06,projected
2033,cpiu_medical_price_index,736.253,projected
2034,cpiu_medical_price_index,759.107,projected
2035,cpiu_medical_price_index,782.647,projected
2036,cpiu_medical_price_index,806.895,projected
2023,cpiu_medical_price_index_pct_change,1.551,actual
2024,cpiu_medical_price_index_pct_change,1.902,actual
2025,cpiu_medical_price_index_pct_change,2.965,projected
2026,cpiu_medical_price_index_pct_change,3.433,projected
2027,cpiu_medical_price_index_pct_change,2.878,projected
2028,cpiu_medical_price_index_pct_change,3.051,projected
2029,cpiu_medical_price_index_pct_change,3.09,projected
2030,cpiu_medical_price_index_pct_change,3.104,projected
2031,cpiu_medical_price_index_pct_change,3.113,projected
2032,cpiu_medical_price_index_pct_change,3.109,projected
2033,cpiu_medical_price_index_pct_change,3.107,projected
2034,cpiu_medical_price_index_pct_change,3.104,projected
2035,cpiu_medical_price_index_pct_change,3.1,projected
2036,cpiu_medical_price_index_pct_change,3.098,projected
2023,cpiu_pct_change,5.078,actual
2024,cpiu_pct_change,3.081,actual
2025,cpiu_pct_change,2.704,projected
2026,cpiu_pct_change,2.961,projected
2027,cpiu_pct_change,2.643,projected
2028,cpiu_pct_change,2.389,projected
2029,cpiu_pct_change,2.3,projected
2030,cpiu_pct_change,2.266,projected
2031,cpiu_pct_change,2.259,projected
2032,cpiu_pct_change,2.257,projected
2033,cpiu_pct_change,2.256,projected
2034,cpiu_pct_change,2.256,projected
2035,cpiu_pct_change,2.256,projected
2036,cpiu_pct_change,2.257,projected
2023,current_account_balance,-923.7,actual
2024,current_account_balance,-1131.8,actual
2025,current_account_balance,-1221.7,projected
2026,current_account_balance,-1047.1,projected
2027,current_account_balance,-1089.7,projected
2028,current_account_balance,-1079.3,projected
2029,current_account_balance,-1061.1,projected
2030,current_account_balance,-1061.9,projected
2031,current_account_balance,-1071.8,projected
2032,current_account_balance,-1054.3,projected
2033,current_account_balance,-1046.2,projected
2034,current_account_balance,-1060.9,projected
2035,current_account_balance,-1089.1,projected
2036,current_account_balance,-1158.9,projected
2023,dividend_inc_pers,2106.7,actual
2024,dividend_inc_pers,2212.6,actual
2025,dividend_inc_pers,2253.9,projected
2026,dividend_inc_pers,2398.0,projected
2027,dividend_inc_pers,2434.8,projected
2028,dividend_inc_pers,2430.4,projected
2029,dividend_inc_pers,2421.9,projected
2030,dividend_inc_pers,2457.1,projected
2031,dividend_inc_pers,2534.7,projected
2032,dividend_inc_pers,2641.5,projected
2033,dividend_inc_pers,2763.6,projected
2034,dividend_inc_pers,2895.8,projected
2035,dividend_inc_pers,3035.6,projected
2036,dividend_inc_pers,3180.3,projected
2023,dividend_inc_pers_share_of_gdp,7.7,actual
2024,dividend_inc_pers_share_of_gdp,7.6,actual
2025,dividend_inc_pers_share_of_gdp,7.4,projected
2026,dividend_inc_pers_share_of_gdp,7.5,projected
2027,dividend_inc_pers_share_of_gdp,7.3,projected
2028,dividend_inc_pers_share_of_gdp,7.0,projected
2029,dividend_inc_pers_share_of_gdp,6.7,projected
2030,dividend_inc_pers_share_of_gdp,6.6,projected
2031,dividend_inc_pers_share_of_gdp,6.5,projected
2032,dividend_inc_pers_share_of_gdp,6.6,projected
2033,dividend_inc_pers_share_of_gdp,6.6,projected
2034,dividend_inc_pers_share_of_gdp,6.7,projected
2035,dividend_inc_pers_share_of_gdp,6.7,projected
2036,dividend_inc_pers_share_of_gdp,6.8,projected
2023,eci_wages_salaries,160.25,actual
2024,eci_wages_salaries,166.775,actual
2025,eci_wages_salaries,172.701,projected
2026,eci_wages_salaries,178.552,projected
2027,eci_wages_salaries,184.661,projected
2028,eci_wages_salaries,190.524,projected
2029,eci_wages_salaries,196.329,projected
2030,eci_wages_salaries,202.194,projected
2031,eci_wages_salaries,208.18,projected
2032,eci_wages_salaries,214.32,projected
2033,eci_wages_salaries,220.63,projected
2034,eci_wages_salaries,227.121,projected
2035,eci_wages_salaries,233.801,projected
2036,eci_wages_salaries,240.676,projected
2023,eci_wages_salaries_pct_change,4.841,actual
2024,eci_wages_salaries_pct_change,4.071,actual
2025,eci_wages_salaries_pct_change,3.553,projected
2026,eci_wages_salaries_pct_change,3.387,projected
