date,variable,value,estimate_type
2022,chained_cpiu,160.868,actual
2023,chained_cpiu,168.777,actual
2024,chained_cpiu,173.395,actual
2025,chained_cpiu,176.975,projected
2026,chained_cpiu,180.721,projected
2027,chained_cpiu,184.377,projected
2028,chained_cpiu,188.022,projected
2029,chained_cpiu,191.737,projected
2030,chained_cpiu,195.529,projected
2031,chained_cpiu,199.399,projected
2032,chained_cpiu,203.352,projected
2033,chained_cpiu,207.389,projected
2034,chained_cpiu,211.513,projected
2035,chained_cpiu,215.725,projected
2022,chained_cpiu_pct_change,7.492,actual
2023,chained_cpiu_pct_change,4.916,actual
2024,chained_cpiu_pct_change,2.735,actual
2025,chained_cpiu_pct_change,2.064,projected
2026,chained_cpiu_pct_change,2.116,projected
2027,chained_cpiu_pct_change,2.022,projected
2028,chained_cpiu_pct_change,1.977,projected
2029,chained_cpiu_pct_change,1.975,projected
2030,chained_cpiu_pct_change,1.977,projected
2031,chained_cpiu_pct_change,1.979,projected
2032,chained_cpiu_pct_change,1.982,projected
2033,chained_cpiu_pct_change,1.985,projected
2034,chained_cpiu_pct_change,1.988,projected
2035,chained_cpiu_pct_change,1.991,projected
2022,change_pri_inv,172.1,actual
2023,change_pri_inv,68.2,actual
2024,change_pri_inv,64.7,actual
2025,change_pri_inv,89.9,projected
2026,change_pri_inv,78.0,projected
2027,change_pri_inv,83.9,projected
2028,change_pri_inv,84.6,projected
2029,change_pri_inv,87.7,projected
2030,change_pri_inv,93.8,projected
2031,change_pri_inv,97.2,projected
2032,change_pri_inv,103.1,projected
2033,change_pri_inv,106.9,projected
2034,change_pri_inv,109.5,projected
2035,change_pri_inv,111.7,projected
2022,compensation,13274.8,actual
2023,compensation,13989.9,actual
2024,compensation,14836.0,actual
2025,compensation,15595.2,projected
2026,compensation,16356.3,projected
2027,compensation,17069.3,projected
2028,compensation,17787.1,projected
2029,compensation,18525.4,projected
2030,compensation,19278.1,projected
2031,compensation,20045.3,projected
2032,compensation,20831.5,projected
2033,compensation,21637.4,projected
2034,compensation,22466.8,projected
2035,compensation,23319.2,projected
2022,compensation_share_of_gdp,52.022,actual
