date,variable,value
FY2025,chg_deficit_net_total,-72.60300000000001
FY2026,chg_deficit_net_total,-137.565
FY2027,chg_deficit_net_total,-68.95100000000001
FY2028,chg_deficit_net_total,-31.698000000000008
FY2029,chg_deficit_net_total,-10.705999999999989
FY2030,chg_deficit_net_total,-53.117999999999995
FY2031,chg_deficit_net_total,-50.065000000000026
FY2032,chg_deficit_net_total,-116.916
FY2033,chg_deficit_net_total,-184.836
FY2034,chg_deficit_net_total,-264.425
FY2025,chg_deficit_prior_baseline,1937.8540000000005
FY2026,chg_deficit_prior_baseline,1850.8230000000008
FY2027,chg_deficit_prior_baseline,1755.893
FY2028,chg_deficit_prior_baseline,1942.4739999999993
FY2029,chg_deficit_prior_baseline,1948.9740000000006
FY2030,chg_deficit_prior_baseline,2192.8390000000004
FY2031,chg_deficit_prior_baseline,2282.850999999999
FY2032,chg_deficit_prior_baseline,2487.4979999999982
FY2033,chg_deficit_prior_baseline,2822.1349999999993
FY2034,chg_deficit_prior_baseline,2861.675
FY2025,chg_econ_deficit_total,-239.26800000000003
FY2026,chg_econ_deficit_total,-265.969
FY2027,chg_econ_deficit_total,-223.225
FY2028,chg_econ_deficit_total,-187.27300000000002
FY2029,chg_econ_deficit_total,-176.688
FY2030,chg_econ_deficit_total,-264.079
FY2031,chg_econ_deficit_total,-224.81400000000002
FY2032,chg_econ_deficit_total,-267.317
FY2033,chg_econ_deficit_total,-317.4
FY2034,chg_econ_deficit_total,-367.91499999999996
FY2025,chg_econ_outlay_debt_service,-2.486
FY2026,chg_econ_outlay_debt_service,-13.642
FY2027,chg_econ_outlay_debt_service,-21.749
FY2028,chg_econ_outlay_debt_service,-28.745
FY2029,chg_econ_outlay_debt_service,-34.754
FY2030,chg_econ_outlay_debt_service,-42.141
FY2031,chg_econ_outlay_debt_service,-50.048
FY2032,chg_econ_outlay_debt_service,-58.018
FY2033,chg_econ_outlay_debt_service,-67.571
FY2034,chg_econ_outlay_debt_service,-78.86
FY2025,chg_econ_outlay_interest_rates,-64.146
FY2026,chg_econ_outlay_interest_rates,-48.216
FY2027,chg_econ_outlay_interest_rates,0.272
FY2028,chg_econ_outlay_interest_rates,40.521
FY2029,chg_econ_outlay_interest_rates,59.977
FY2030,chg_econ_outlay_interest_rates,64.975
FY2031,chg_econ_outlay_interest_rates,59.166
FY2032,chg_econ_outlay_interest_rates,46.92
FY2033,chg_econ_outlay_interest_rates,30.841
FY2034,chg_econ_outlay_interest_rates,14.207
FY2025,chg_econ_outlay_mand_eitc,0.793
